census_occ,title,soc_code,soc_level
0010,Chief executives,11-1011,detailed
0020,General and operations managers,11-1021,detailed
0030,Legislators,11-1031,detailed
0040,Advertising and promotions managers,11-2011,detailed
0051,Marketing managers,11-2021,detailed
0052,Sales managers,11-2022,detailed
0060,Public relations and fundraising managers,11-2030,broad
0101,Administrative services managers,11-3012,detailed
0102,Facilities managers,11-3013,detailed
0110,Computer and information systems managers,11-3021,detailed
0120,Financial managers,11-3031,detailed
0135,Compensation and benefits managers,11-3111,detailed
0136,Human resources managers,11-3121,detailed
0137,Training and development managers,11-3131,detailed
0140,Industrial production managers,11-3051,detailed
0150,Purchasing managers,11-3061,detailed
0160,"Transportation, storage, and distribution managers",11-3071,detailed
0205,"Farmers, ranchers, and other agricultural managers",11-9013,detailed
0220,Construction managers,11-9021,detailed
0230,Education and childcare administrators,11-9030,broad
0300,Architectural and engineering managers,11-9041,detailed
0310,Food service managers,11-9051,detailed
0325,Funeral home managers,11-9171,detailed
0335,Entertainment and recreation managers,11-9070,broad
0340,Lodging managers,11-9081,detailed
0350,Medical and health services managers,11-9111,detailed
0360,Natural sciences managers,11-9121,detailed
0400,Postmasters and mail superintendents,11-9131,detailed
0410,"Property, real estate, and community association managers",11-9141,detailed
0420,Social and community service managers,11-9151,detailed
0425,Emergency management directors,11-9161,detailed
0426,"Personal service managers, all other",11-9179,detailed
0440,"Managers, all other",11-9199,detailed
0500,"Agents and business managers of artists, performers, and athletes",13-1011,detailed
0510,"Buyers and purchasing agents, farm products",13-1021,detailed
0520,"Wholesale and retail buyers, except farm products",13-1022,detailed
0530,"Purchasing agents, except wholesale, retail, and farm products",13-1023,detailed
0540,"Claims adjusters, appraisers, examiners, and investigators",13-1030,broad
0565,Compliance officers,13-1041,detailed
0600,Cost estimators,13-1051,detailed
0630,Human resources workers,13-1070,broad
0640,"Compensation, benefits, and job analysis specialists",13-1141,detailed
0650,Training and development specialists,13-1151,detailed
0700,Logisticians,13-1081,detailed
0705,Project management specialists,13-1082,detailed
0710,Management analysts,13-1111,detailed
0725,"Meeting, convention, and event planners",13-1121,detailed
