code,level,title,parent_code
11-0000,major,Management Occupations,
11-1000,minor,Top Executives,11-0000
11-1010,broad,Chief Executives,11-1000
11-1011,detailed,Chief Executives,11-1010
11-1020,broad,General and Operations Managers,11-1000
11-1021,detailed,General and Operations Managers,11-1020
11-1030,broad,Legislators,11-1000
11-1031,detailed,Legislators,11-1030
11-2000,minor,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",11-0000
11-2010,broad,Advertising and Promotions Managers,11-2000
11-2011,detailed,Advertising and Promotions Managers,11-2010
11-2020,broad,Marketing and Sales Managers,11-2000
11-2021,detailed,Marketing Managers,11-2020
11-2022,detailed,Sales Managers,11-2020
11-2030,broad,Public Relations and Fundraising Managers,11-2000
11-2032,detailed,Public Relations Managers,11-2030
11-2033,detailed,Fundraising Managers,11-2030
11-3000,minor,Operations Specialties Managers,11-0000
11-3010,broad,Administrative Services and Facilities Managers,11-3000
11-3012,detailed,Administrative Services Managers,11-3010
11-3013,detailed,Facilities Managers,11-3010
11-3020,broad,Computer and Information Systems Managers,11-3000
11-3021,detailed,Computer and Information Systems Managers,11-3020
11-3030,broad,Financial Managers,11-3000
11-3031,detailed,Financial Managers,11-3030
11-3050,broad,Industrial Production Managers,11-3000
11-3051,detailed,Industrial Production Managers,11-3050
11-3060,broad,Purchasing Managers,11-3000
11-3061,detailed,Purchasing Managers,11-3060
11-3070,broad,"Transportation, Storage, and Distribution Managers",11-3000
11-3071,detailed,"Transportation, Storage, and Distribution Managers",11-3070
11-3110,broad,Compensation and Benefits Managers,11-3000
11-3111,detailed,Compensation and Benefits Managers,11-3110
11-3120,broad,Human Resources Managers,11-3000
11-3121,detailed,Human Resources Managers,11-3120
11-3130,broad,Training and Development Managers,11-3000
11-3131,detailed,Training and Development Managers,11-3130
11-9000,minor,Other Management Occupations,11-0000
11-9010,broad,"Farmers, Ranchers, and Other Agricultural Managers",11-9000
11-9013,detailed,"Farmers, Ranchers, and Other Agricultural Managers",11-9010
11-9020,broad,Construction Managers,11-9000
11-9021,detailed,Construction Managers,11-9020
11-9030,broad,Education and Childcare Administrators,11-9000
11-9031,detailed,"Education and Childcare Administrators, Preschool and Daycare",11-9030
