delineation,cbsa_code,bulletin,cbsa_title,cbsa_type,csa_code,csa_title,n_counties,n_metdivs,states,valid_from,valid_to
2013,10100,13-01,"Aberdeen, SD",micropolitan,,,2,0,46,2013-02-28,2015-07-15
2013,10140,13-01,"Aberdeen, WA",micropolitan,,,1,0,53,2013-02-28,2015-07-15
2013,10180,13-01,"Abilene, TX",metropolitan,,,3,0,48,2013-02-28,2015-07-15
2013,10220,13-01,"Ada, OK",micropolitan,,,1,0,40,2013-02-28,2015-07-15
2013,10260,13-01,"Adjuntas, PR",micropolitan,434,"Ponce-Coamo-Santa Isabel, PR",1,0,72,2013-02-28,2015-07-15
2013,10300,13-01,"Adrian, MI",micropolitan,220,"Detroit-Warren-Ann Arbor, MI",1,0,26,2013-02-28,2015-07-15
2013,10380,13-01,"Aguadilla-Isabela, PR",metropolitan,,,9,0,72,2013-02-28,2015-07-15
2013,10420,13-01,"Akron, OH",metropolitan,184,"Cleveland-Akron-Canton, OH",2,0,39,2013-02-28,2015-07-15
2013,10460,13-01,"Alamogordo, NM",micropolitan,,,1,0,35,2013-02-28,2015-07-15
2013,10500,13-01,"Albany, GA",metropolitan,,,5,0,13,2013-02-28,2015-07-15
2013,10540,13-01,"Albany, OR",metropolitan,440,"Portland-Vancouver-Salem, OR-WA",1,0,41,2013-02-28,2015-07-15
2013,10580,13-01,"Albany-Schenectady-Troy, NY",metropolitan,104,"Albany-Schenectady, NY",5,0,36,2013-02-28,2015-07-15
2013,10620,13-01,"Albemarle, NC",micropolitan,172,"Charlotte-Concord, NC-SC",1,0,37,2013-02-28,2015-07-15
2013,10660,13-01,"Albert Lea, MN",micropolitan,,,1,0,27,2013-02-28,2015-07-15
2013,10700,13-01,"Albertville, AL",micropolitan,290,"Huntsville-Decatur-Albertville, AL",1,0,01,2013-02-28,2015-07-15
2013,10740,13-01,"Albuquerque, NM",metropolitan,106,"Albuquerque-Santa Fe-Las Vegas, NM",4,0,35,2013-02-28,2015-07-15
2013,10780,13-01,"Alexandria, LA",metropolitan,,,2,0,22,2013-02-28,2015-07-15
2013,10820,13-01,"Alexandria, MN",micropolitan,,,1,0,27,2013-02-28,2015-07-15
