delineation,bulletin,cbsa_code,cbsa_title,cbsa_type,metdiv_code,metdiv_title,csa_code,csa_title,county_geoid,county_name,central_outlying,valid_from,valid_to
2013,13-01,10100,"Aberdeen, SD",micropolitan,,,,,46013,Brown County,central,2013-02-28,2015-07-15
2013,13-01,10100,"Aberdeen, SD",micropolitan,,,,,46045,Edmunds County,outlying,2013-02-28,2015-07-15
2013,13-01,10140,"Aberdeen, WA",micropolitan,,,,,53027,Grays Harbor County,central,2013-02-28,2015-07-15
2013,13-01,10180,"Abilene, TX",metropolitan,,,,,48059,Callahan County,outlying,2013-02-28,2015-07-15
2013,13-01,10180,"Abilene, TX",metropolitan,,,,,48253,Jones County,outlying,2013-02-28,2015-07-15
2013,13-01,10180,"Abilene, TX",metropolitan,,,,,48441,Taylor County,central,2013-02-28,2015-07-15
2013,13-01,10220,"Ada, OK",micropolitan,,,,,40123,Pontotoc County,central,2013-02-28,2015-07-15
2013,13-01,10260,"Adjuntas, PR",micropolitan,,,434,"Ponce-Coamo-Santa Isabel, PR",72001,Adjuntas Municipio,central,2013-02-28,2015-07-15
2013,13-01,10300,"Adrian, MI",micropolitan,,,220,"Detroit-Warren-Ann Arbor, MI",26091,Lenawee County,central,2013-02-28,2015-07-15
2013,13-01,10380,"Aguadilla-Isabela, PR",metropolitan,,,,,72003,Aguada Municipio,central,2013-02-28,2015-07-15
2013,13-01,10380,"Aguadilla-Isabela, PR",metropolitan,,,,,72005,Aguadilla Municipio,central,2013-02-28,2015-07-15
2013,13-01,10380,"Aguadilla-Isabela, PR",metropolitan,,,,,72011,Añasco Municipio,central,2013-02-28,2015-07-15
2013,13-01,10380,"Aguadilla-Isabela, PR",metropolitan,,,,,72071,Isabela Municipio,central,2013-02-28,2015-07-15
2013,13-01,10380,"Aguadilla-Isabela, PR",metropolitan,,,,,72081,Lares Municipio,central,2013-02-28,2015-07-15
2013,13-01,10380,"Aguadilla-Isabela, PR",metropolitan,,,,,72099,Moca Municipio,central,2013-02-28,2015-07-15
2013,13-01,10380,"Aguadilla-Isabela, PR",metropolitan,,,,,72117,Rincón Municipio,central,2013-02-28,2015-07-15
2013,13-01,10380,"Aguadilla-Isabela, PR",metropolitan,,,,,72131,San Sebastián Municipio,central,2013-02-28,2015-07-15
2013,13-01,10380,"Aguadilla-Isabela, PR",metropolitan,,,,,72141,Utuado Municipio,central,2013-02-28,2015-07-15
2013,13-01,10420,"Akron, OH",metropolitan,,,184,"Cleveland-Akron-Canton, OH",39133,Portage County,central,2013-02-28,2015-07-15
2013,13-01,10420,"Akron, OH",metropolitan,,,184,"Cleveland-Akron-Canton, OH",39153,Summit County,central,2013-02-28,2015-07-15
2013,13-01,10460,"Alamogordo, NM",micropolitan,,,,,35035,Otero County,central,2013-02-28,2015-07-15
2013,13-01,10500,"Albany, GA",metropolitan,,,,,13007,Baker County,outlying,2013-02-28,2015-07-15
2013,13-01,10500,"Albany, GA",metropolitan,,,,,13095,Dougherty County,central,2013-02-28,2015-07-15
2013,13-01,10500,"Albany, GA",metropolitan,,,,,13177,Lee County,central,2013-02-28,2015-07-15
2013,13-01,10500,"Albany, GA",metropolitan,,,,,13273,Terrell County,outlying,2013-02-28,2015-07-15
2013,13-01,10500,"Albany, GA",metropolitan,,,,,13321,Worth County,outlying,2013-02-28,2015-07-15
2013,13-01,10540,"Albany, OR",metropolitan,,,440,"Portland-Vancouver-Salem, OR-WA",41043,Linn County,central,2013-02-28,2015-07-15
2013,13-01,10580,"Albany-Schenectady-Troy, NY",metropolitan,,,104,"Albany-Schenectady, NY",36001,Albany County,central,2013-02-28,2015-07-15
2013,13-01,10580,"Albany-Schenectady-Troy, NY",metropolitan,,,104,"Albany-Schenectady, NY",36083,Rensselaer County,central,2013-02-28,2015-07-15
2013,13-01,10580,"Albany-Schenectady-Troy, NY",metropolitan,,,104,"Albany-Schenectady, NY",36091,Saratoga County,central,2013-02-28,2015-07-15
2013,13-01,10580,"Albany-Schenectady-Troy, NY",metropolitan,,,104,"Albany-Schenectady, NY",36093,Schenectady County,central,2013-02-28,2015-07-15
2013,13-01,10580,"Albany-Schenectady-Troy, NY",metropolitan,,,104,"Albany-Schenectady, NY",36095,Schoharie County,outlying,2013-02-28,2015-07-15
2013,13-01,10620,"Albemarle, NC",micropolitan,,,172,"Charlotte-Concord, NC-SC",37167,Stanly County,central,2013-02-28,2015-07-15
2013,13-01,10660,"Albert Lea, MN",micropolitan,,,,,27047,Freeborn County,central,2013-02-28,2015-07-15
2013,13-01,10700,"Albertville, AL",micropolitan,,,290,"Huntsville-Decatur-Albertville, AL",01095,Marshall County,central,2013-02-28,2015-07-15
2013,13-01,10740,"Albuquerque, NM",metropolitan,,,106,"Albuquerque-Santa Fe-Las Vegas, NM",35001,Bernalillo County,central,2013-02-28,2015-07-15
2013,13-01,10740,"Albuquerque, NM",metropolitan,,,106,"Albuquerque-Santa Fe-Las Vegas, NM",35043,Sandoval County,central,2013-02-28,2015-07-15
2013,13-01,10740,"Albuquerque, NM",metropolitan,,,106,"Albuquerque-Santa Fe-Las Vegas, NM",35057,Torrance County,outlying,2013-02-28,2015-07-15
2013,13-01,10740,"Albuquerque, NM",metropolitan,,,106,"Albuquerque-Santa Fe-Las Vegas, NM",35061,Valencia County,outlying,2013-02-28,2015-07-15
2013,13-01,10780,"Alexandria, LA",metropolitan,,,,,22043,Grant Parish,outlying,2013-02-28,2015-07-15
2013,13-01,10780,"Alexandria, LA",metropolitan,,,,,22079,Rapides Parish,central,2013-02-28,2015-07-15
2013,13-01,10820,"Alexandria, MN",micropolitan,,,,,27041,Douglas County,central,2013-02-28,2015-07-15
2013,13-01,10860,"Alice, TX",micropolitan,,,204,"Corpus Christi-Kingsville-Alice, TX",48249,Jim Wells County,central,2013-02-28,2015-07-15
2013,13-01,10900,"Allentown-Bethlehem-Easton, PA-NJ",metropolitan,,,408,"New York-Newark, NY-NJ-CT-PA",34041,Warren County,central,2013-02-28,2015-07-15
2013,13-01,10900,"Allentown-Bethlehem-Easton, PA-NJ",metropolitan,,,408,"New York-Newark, NY-NJ-CT-PA",42025,Carbon County,central,2013-02-28,2015-07-15
2013,13-01,10900,"Allentown-Bethlehem-Easton, PA-NJ",metropolitan,,,408,"New York-Newark, NY-NJ-CT-PA",42077,Lehigh County,central,2013-02-28,2015-07-15
