county_geoid,name,state_fips,county_fips,state_usps,entity_type,valid_from,valid_to,is_current
01001,Autauga County,01,001,AL,county,1990-01-01,9999-12-31,true
01003,Baldwin County,01,003,AL,county,1990-01-01,9999-12-31,true
01005,Barbour County,01,005,AL,county,1990-01-01,9999-12-31,true
01007,Bibb County,01,007,AL,county,1990-01-01,9999-12-31,true
01009,Blount County,01,009,AL,county,1990-01-01,9999-12-31,true
01011,Bullock County,01,011,AL,county,1990-01-01,9999-12-31,true
01013,Butler County,01,013,AL,county,1990-01-01,9999-12-31,true
01015,Calhoun County,01,015,AL,county,1990-01-01,9999-12-31,true
01017,Chambers County,01,017,AL,county,1990-01-01,9999-12-31,true
01019,Cherokee County,01,019,AL,county,1990-01-01,9999-12-31,true
01021,Chilton County,01,021,AL,county,1990-01-01,9999-12-31,true
01023,Choctaw County,01,023,AL,county,1990-01-01,9999-12-31,true
01025,Clarke County,01,025,AL,county,1990-01-01,9999-12-31,true
01027,Clay County,01,027,AL,county,1990-01-01,9999-12-31,true
01029,Cleburne County,01,029,AL,county,1990-01-01,9999-12-31,true
01031,Coffee County,01,031,AL,county,1990-01-01,9999-12-31,true
01033,Colbert County,01,033,AL,county,1990-01-01,9999-12-31,true
01035,Conecuh County,01,035,AL,county,1990-01-01,9999-12-31,true
01037,Coosa County,01,037,AL,county,1990-01-01,9999-12-31,true
01039,Covington County,01,039,AL,county,1990-01-01,9999-12-31,true
01041,Crenshaw County,01,041,AL,county,1990-01-01,9999-12-31,true
01043,Cullman County,01,043,AL,county,1990-01-01,9999-12-31,true
01045,Dale County,01,045,AL,county,1990-01-01,9999-12-31,true
01047,Dallas County,01,047,AL,county,1990-01-01,9999-12-31,true
01049,DeKalb County,01,049,AL,county,1990-01-01,9999-12-31,true
01051,Elmore County,01,051,AL,county,1990-01-01,9999-12-31,true
01053,Escambia County,01,053,AL,county,1990-01-01,9999-12-31,true
01055,Etowah County,01,055,AL,county,1990-01-01,9999-12-31,true
01057,Fayette County,01,057,AL,county,1990-01-01,9999-12-31,true
01059,Franklin County,01,059,AL,county,1990-01-01,9999-12-31,true
01061,Geneva County,01,061,AL,county,1990-01-01,9999-12-31,true
01063,Greene County,01,063,AL,county,1990-01-01,9999-12-31,true
01065,Hale County,01,065,AL,county,1990-01-01,9999-12-31,true
01067,Henry County,01,067,AL,county,1990-01-01,9999-12-31,true
01069,Houston County,01,069,AL,county,1990-01-01,9999-12-31,true
01071,Jackson County,01,071,AL,county,1990-01-01,9999-12-31,true
01073,Jefferson County,01,073,AL,county,1990-01-01,9999-12-31,true
01075,Lamar County,01,075,AL,county,1990-01-01,9999-12-31,true
01077,Lauderdale County,01,077,AL,county,1990-01-01,9999-12-31,true
01079,Lawrence County,01,079,AL,county,1990-01-01,9999-12-31,true
01081,Lee County,01,081,AL,county,1990-01-01,9999-12-31,true
01083,Limestone County,01,083,AL,county,1990-01-01,9999-12-31,true
01085,Lowndes County,01,085,AL,county,1990-01-01,9999-12-31,true
01087,Macon County,01,087,AL,county,1990-01-01,9999-12-31,true
01089,Madison County,01,089,AL,county,1990-01-01,9999-12-31,true
01091,Marengo County,01,091,AL,county,1990-01-01,9999-12-31,true
01093,Marion County,01,093,AL,county,1990-01-01,9999-12-31,true
01095,Marshall County,01,095,AL,county,1990-01-01,9999-12-31,true
01097,Mobile County,01,097,AL,county,1990-01-01,9999-12-31,true
01099,Monroe County,01,099,AL,county,1990-01-01,9999-12-31,true
01101,Montgomery County,01,101,AL,county,1990-01-01,9999-12-31,true
01103,Morgan County,01,103,AL,county,1990-01-01,9999-12-31,true
01105,Perry County,01,105,AL,county,1990-01-01,9999-12-31,true
01107,Pickens County,01,107,AL,county,1990-01-01,9999-12-31,true
01109,Pike County,01,109,AL,county,1990-01-01,9999-12-31,true
01111,Randolph County,01,111,AL,county,1990-01-01,9999-12-31,true
01113,Russell County,01,113,AL,county,1990-01-01,9999-12-31,true
01115,St. Clair County,01,115,AL,county,1990-01-01,9999-12-31,true
01117,Shelby County,01,117,AL,county,1990-01-01,9999-12-31,true
01119,Sumter County,01,119,AL,county,1990-01-01,9999-12-31,true
01121,Talladega County,01,121,AL,county,1990-01-01,9999-12-31,true
01123,Tallapoosa County,01,123,AL,county,1990-01-01,9999-12-31,true
01125,Tuscaloosa County,01,125,AL,county,1990-01-01,9999-12-31,true
01127,Walker County,01,127,AL,county,1990-01-01,9999-12-31,true
01129,Washington County,01,129,AL,county,1990-01-01,9999-12-31,true
01131,Wilcox County,01,131,AL,county,1990-01-01,9999-12-31,true
01133,Winston County,01,133,AL,county,1990-01-01,9999-12-31,true
02013,Aleutians East Borough,02,013,AK,borough,1990-01-01,9999-12-31,true
02016,Aleutians West Census Area,02,016,AK,census_area,1990-01-01,9999-12-31,true
02020,Anchorage Municipality,02,020,AK,municipality,1990-01-01,9999-12-31,true
02050,Bethel Census Area,02,050,AK,census_area,1990-01-01,9999-12-31,true
02060,Bristol Bay Borough,02,060,AK,borough,1990-01-01,9999-12-31,true
02063,Chugach Census Area,02,063,AK,census_area,2019-01-02,9999-12-31,true
02066,Copper River Census Area,02,066,AK,census_area,2019-01-02,9999-12-31,true
02068,Denali Borough,02,068,AK,borough,1990-12-07,9999-12-31,true
02070,Dillingham Census Area,02,070,AK,census_area,1990-01-01,9999-12-31,true
02090,Fairbanks North Star Borough,02,090,AK,borough,1990-01-01,9999-12-31,true
02100,Haines Borough,02,100,AK,borough,1990-01-01,9999-12-31,true
02105,Hoonah-Angoon Census Area,02,105,AK,census_area,2007-06-20,9999-12-31,true
02110,Juneau City and Borough,02,110,AK,city_and_borough,1990-01-01,9999-12-31,true
02122,Kenai Peninsula Borough,02,122,AK,borough,1990-01-01,9999-12-31,true
02130,Ketchikan Gateway Borough,02,130,AK,borough,1990-01-01,9999-12-31,true
